Symbol,Name,Last Sale,Net Change,% Change,Market Cap (B),Country,IPO Year,Volume,Sector,Industry
LRCX,Lam Research Corporation Common Stock,$83.26,-0.47,-0.561%,106.87769812,United States,1984.0,8902642,Technology,Industrial Machinery/Components
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,$431.64,2.72,0.634%,106.317857876,United States,2019.0,2322469,Technology,Computer Software: Prepackaged Software
MU,Micron Technology Inc. Common Stock,$94.08,-1.85,-1.928%,104.821295363,United States,,12111570,Technology,Semiconductors
TMUS,T-Mobile US Inc. Common Stock,$258.70,2.87,1.122%,295.369419082,United States,,2597545,Telecommunications,Telecommunications Equipment
CSCO,Cisco Systems Inc. Common Stock (DE),$62.43,-0.38,-0.605%,248.643598172,United States,1990.0,17697249,Telecommunications,Computer Communications Equipment
CMCSA,Comcast Corporation Class A Common Stock,$35.23,0.76,2.205%,133.205426233,United States,,32637663,Telecommunications,Cable & Other Pay Television Services
CHTR,Charter Communications Inc. Class A Common Stock New,$350.92,7.19,2.092%,49.811840163,United States,,612957,Telecommunications,Cable & Other Pay Television Services
WBD,Warner Bros. Discovery Inc. Series A Common Stock ,$9.85,-0.13,-1.303%,24.163676205,United States,,27456604,Telecommunications,Cable & Other Pay Television Services
FFIV,F5 Inc. Common Stock,$308.39,0.04,0.013%,17.779379228,United States,1999.0,513318,Telecommunications,Computer Communications Equipment
ROKU,Roku Inc. Class A Common Stock,$82.75,-1.85,-2.187%,12.015236034,United States,2017.0,3596339,Telecommunications,Cable & Other Pay Television Services
LBRDK,Liberty Broadband Corporation Class C Common Stock,$78.53,1.42,1.842%,11.217860822,United States,,390273,Telecommunications,Cable & Other Pay Television Services
LBRDA,Liberty Broadband Corporation Class A Common Stock,$77.93,1.53,2.003%,11.132151965,United States,,53941,Telecommunications,Cable & Other Pay Television Services
FYBR,Frontier Communications Parent Inc. Common Stock,$35.77,-0.04,-0.112%,8.90726655,United States,,2008486,Telecommunications,Telecommunications Equipment
LITE,Lumentum Holdings Inc. Common Stock,$79.60,-2.33,-2.844%,5.50832,United States,,2520085,Telecommunications,Telecommunications Equipment
LBRDP,Liberty Broadband Corporation Series A Cumulative Redeemable Preferred Stock,$24.9262,-0.0188,-0.075%,3.560660161,United States,,5364,Telecommunications,Cable & Other Pay Television Services
IRDM,Iridium Communications Inc Common Stock,$27.81,-0.16,-0.572%,3.166106817,United States,,1380103,Telecommunications,Telecommunications Equipment
ZD,Ziff Davis Inc. Common Stock,$54.28,0.73,1.363%,2.319998524,United States,,263257,Telecommunications,Telecommunications Equipment
EXTR,Extreme Networks Inc. Common Stock,$15.58,0.05,0.322%,2.068327636,United States,1999.0,546486,Telecommunications,Computer Communications Equipment
LILA,Liberty Latin America Ltd. Class A Common Stock,$6.89,0.23,3.453%,1.355263,United States,,377756,Telecommunications,Cable & Other Pay Television Services
LILAK,Liberty Latin America Ltd. Class C Common Stock,$6.87,0.23,3.464%,1.351329,United States,,859690,Telecommunications,Cable & Other Pay Television Services
DGII,Digi International Inc. Common Stock,$35.13,-0.51,-1.431%,1.296268545,United States,1989.0,211892,Telecommunications,Computer Communications Equipment
TTGT,TechTarget Inc. Common Stock,$17.05,-0.47,-2.683%,1.218294315,United States,,142423,Telecommunications,Telecommunications Equipment
AIOT,PowerFleet Inc. Common Stock,$8.51,0.71,9.103%,1.12449912,United States,,6909231,Telecommunications,Telecommunications Equipment
CEG,Constellation Energy Corporation Common Stock ,$313.58,-8.25,-2.563%,98.077350114,United States,,2642336,Utilities,Electric Utilities: Central
AEP,American Electric Power Company Inc. Common Stock,$101.88,1.05,1.041%,54.25775633,United States,,3165875,Utilities,Electric Utilities: Central
EXC,Exelon Corporation Common Stock,$42.36,0.56,1.34%,42.564753626,United States,,8935195,Utilities,Power Generation
XEL,Xcel Energy Inc. Common Stock,$67.19,0.31,0.464%,38.583302847,United States,,2284291,Utilities,Power Generation
LNT,Alliant Energy Corporation Common Stock,$60.31,0.44,0.735%,15.475497873,United States,,1523662,Utilities,Power Generation
EVRG,Evergy Inc. Common Stock,$66.22,0.42,0.638%,15.229022044,United States,,1461688,Utilities,Power Generation
TLN,Talen Energy Corporation Common Stock,$233.95,-4.28,-1.797%,11.897624807,United States,,736866,Utilities,Electric Utilities: Central
CWST,Casella Waste Systems Inc. Class A Common Stock,$107.47,-1.05,-0.968%,6.80431818,United States,1997.0,328277,Utilities,Environmental Services
NWE,NorthWestern Energy Group Inc. Common Stock,$54.69,0.97,1.806%,3.353274528,United States,,329164,Utilities,Power Generation
OTTR,Otter Tail Corporation Common Stock,$79.92,0.64,0.807%,3.342891123,United States,,177787,Utilities,Electric Utilities: Central
NFE,New Fortress Energy Inc. Class A Common Stock,$12.12,-0.3,-2.415%,3.04720194,United States,2019.0,4063534,Utilities,Oil/Gas Transmission
NEXT,NextDecade Corporation Common Stock,$7.92,0.01,0.126%,2.061506193,United States,2015.0,803253,Utilities,Oil & Gas Production
SJW,SJW Group Common Stock,$52.12,1.41,2.781%,1.733174296,United States,,295997,Utilities,Water Supply
INFN,Infinera Corporation Common Stock,$6.64,0.03,0.454%,1.572367438,United States,2007.0,1008711,Utilities,Telecommunications Equipment
CDZIP,Cadiz Inc. Depositary Shares,$18.73,-0.05,-0.266%,1.408198305,United States,,2543,Utilities,Water Supply
NNE,Nano Nuclear Energy Inc. Common Stock,$32.20,-2.91,-8.288%,1.178418538,United States,2024.0,4672623,Utilities,Electric Utilities: Central
MSEX,Middlesex Water Company Common Stock,$50.57,1.18,2.389%,0.902937464,United States,,66512,Utilities,Water Supply
NTGR,NETGEAR Inc. Common Stock,$30.91,0.56,1.845%,0.889273405,United States,2003.0,526859,Utilities,Telecommunications Equipment
ADTN,ADTRAN Holdings Inc. Common Stock,$11.07,-0.28,-2.467%,0.877285788,United States,1994.0,595084,Utilities,Telecommunications Equipment
CLNE,Clean Energy Fuels Corp. Common Stock,$3.28,-0.12,-3.529%,0.732937425,United States,2007.0,2029891,Utilities,Natural Gas Distribution
